,Excluded:,Unnamed: 1,Unnamed: 2,Section,Code,Page,SubCode,Text,Required/Core or Improvement,# of points,Notes,Agronomic Practices,Biosecurity/Sanitation,Planning,Application Restrictions,Education/training,Monitoring,Record-Keeping,Worker Safety,Materials/Waste Mgmt,Prohibited Practice,Prohibited Material,Limited Use Substances,Phase Out,Pesticide Practices,Threshold,Performance Standard,Non-Quantitative Performance Standards,Unnamed: 25,Differentiated Standards,Applies to Small Farms,Applies to Medium Farms ,Applies to Large Farms,CertName,Performance: Improvement,Unnamed: 26,Follow the law,Unnamed: 20,Biosecurity,Unnamed: 23,Unnamed: 24
0,Certified Naturally Grown,Organic (Not IPM),,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,AvoGreen (Propreitary),,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,Bonsucro,"Doesn't use ""IPM""",http://www.bonsucro.com/wp-content/uploads/2017/04/Bonsucro-PS-STD-English-2.pdf,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Certified Sustainably Grown,,https://cdn.scsglobalservices.com/files/program_documents/SCS_STN_SustainablyGrownStandard_V2-2_030520_0.pdf,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,,,,Principle 2: Responsible Labor Conditions  ,2.1,5.0,4.0,"2.1.4 Children and minors (below 18) do not conduct hazardous work or any work that jeopardizes their physical, mental or moral well being.",Required,,,,,,,,,,workers who handle pesticides are: 18 or older,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
1,,,,Principle 2: Responsible Labor Conditions  ,2.3,5.0,1.0, Producers and their workers demonstrate an awareness and understanding of health and safety matters. ,Required,,,,,,,"""awareness of health and safety"" among workers",,,"""awareness of health and safety"" among workers",,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
2,,,,Principle 2: Responsible Labor Conditions  ,2.3,5.0,2.0," Relevant health and safety risks are identified, procedures are developed to address these risks by employers, and these are monitored. ",Required,,,,,"health and safety risks identified, health and safety procedures exist",,,,,"health and safety risks identified, health and safety procedures exist",,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
3,,,,Principle 2: Responsible Labor Conditions  ,2.3,5.0,3.0,Potentially hazardous tasks are only carried out by capable and competent people who do not face specific health risks. ,Required,,,,,,,,,,"workers who handle pesticides are: free of other medical conditions, ""competent""",,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
4,,,,Principle 2: Responsible Labor Conditions  ,2.3,5.0,4.0,Adequate and appropriate protective equipment and clothing is provided and used in all potentially hazardous operations such as pesticide handling and application and mechanized or manual operations. ,Required,,,,,,,,,,workers who handle pesticides have: access to ppe,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
5,,,,Principle 2: Responsible Labor Conditions  ,2.3,5.0,6.0,Accident and emergency procedures exist and instructions are clearly understood by all workers.  ,Required,,,,,emergency procedures understood by all workers,,emergency procedures understood by all workers,,,emergency procedures understood by all workers,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
