class,"Domestic, Multi-Commodity","Domestic, Multi-Commodity","Domestic, Multi-Commodity","Global South, Multi-Commodity","Global South, Multi-Commodity","Global South, Multi-Commodity","Global South, Single Commodity","Global South, Single Commodity","Global South, Single Commodity","Regional Designation, Single Commodity","Regional Designation, Single Commodity","Regional Designation, Single Commodity"
stat,max,mean,min,max,mean,min,max,mean,min,max,mean,min
Record-Keeping,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Planning,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Education/training,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Monitoring,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Worker Safety,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Materials/Waste Mgmt,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Pesticide Practices,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Prohibited Practice,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Agronomic Practices,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
Biosecurity/Sanitation,34.0,24.5,15.0,60.0,39.0,28.0,55.0,31.833333333333332,10.0,117.0,68.0,50.0
