,PRODUCTNAME,EPAREGISTRATIONNUMBER,PESTICIDEFORM,APPROVEDDATE,CANCELTRANSFERDATE,RESTRICTEDUSEPRODUCT,CONDITIONALLYFLAG,SIGNALWORD,ALTBRANDNAMELIST,COMPANY,AGENT,DISTRIBUTORLIST,FORMULATIONLIST,PESTLIST,SITELIST,PRODUCTMANAGERLIST,TRANSFERLIST,TYPESLIST
0,HARRIS FLEA & TICK KILLER CARPET POWDER ,3-19,16,2017-12-14, ,F,Y,Caution,,,,,,,,,,
1,HARRIS DIATOMACEOUS EARTH,3-18,16,2017-11-14, ,F,N,Caution,,,,,,,,,,
2,HARRIS TERMITE POWDER,3-14,  ,2015-02-12, ,F,Y,Caution,,,,,,,,,,
3,HARRIS HOME PEST CONTROL,3-11,16,2009-09-23, ,F,Y,Caution,,,,,,,,,,
4,HARRIS HOME PEST CONTROL CONCENTRATE,3-12,12,2010-06-02, ,F,Y,Warning,,,,,,,,,,
5,HARRIS FAMOUS ROACH POWDER,3-10,07,2008-12-01, ,F,N,Caution,,,,,,,,,,
6,HAPPY HORSE,3-20,16,1996-10-21, ,F,Y,Caution,,,,,,,,,,
7,HARRIS FAMOUS ROACH TABLETS,3-1,05,1948-07-02, ,F,N,Caution,,,,,,,,,,
8,DAVIS FLEA & TICK MIST,3-22,16,1993-04-14, ,F,Y,Caution,,,,,,,,,,
9,BN-1440,4-494,  ,2020-03-16, ,F,Y,Caution,,,,,,,,,,
10,BN-1438,4-492,16,2019-06-24, ,F,N,Caution,,,,,,,,,,
11,BN-1437,4-491,15,2019-06-24, ,F,Y,Caution,,,,,,,,,,
12,BONIDE KleenUp Ready to Use,4-498,  ,2020-03-19, ,F,N,Caution,,,,,,,,,,
13,BN-1439,4-493,  ,2020-03-16, ,F,Y,Caution,,,,,,,,,,
14,BONIDE® KLEENUP CONCENTRATE,4-497,  ,2020-03-05, ,F,N,Caution,,,,,,,,,,
15,BONIDE SYSTEMIC INSECT CONTROL,4-490,16,2015-11-18, ,F,Y,Caution,,,,,,,,,,
16,BONIDE BONTONE II ROOTING POWDER,4-489,06,2014-02-28, ,F,N,Caution,,,,,,,,,,
17,BONIDE MMAX LAWN GRANULES,4-480,04,2009-12-29, ,F,N,Caution,,,,,,,,,,
18,BONIDE FT09,4-488,12,2013-05-16, ,F,N,Caution,,,,,,,,,,
19,CAPTAIN JACK'S DEADBUG BREW FLOWER & VEGETABLE GARDEN DUST,4-479,03,2010-12-08, ,F,Y,No Signal Word,,,,,,,,,,
20,BONIDE CAPTAN WETTABLE,4-459,06,1990-03-06, ,F,Y,Danger,,,,,,,,,,
21,BONIDE HOME PEST ELIMINATOR,4-440,16,2000-08-11, ,F,Y,Caution,,,,,,,,,,
22,BONIDE CYPER WSP INSECTICIDE,4-482,21,2010-04-05, ,F,Y,Caution,,,,,,,,,,
23,BONIDE PERMAKIL RTU PERMETHRIN SPRAY,4-358,16,1993-05-10, ,F,Y,Caution,,,,,,,,,,
24,BONIDE FCS 26,4-478,16,2009-11-03, ,F,Y,Caution,,,,,,,,,,
25,SHOT GUN HOT PEPPER WAX ANIMAL REPELLENT CONCENTRATE,4-396,15,1997-10-30, ,F,Y,Caution,,,,,,,,,,
26,"BONIDE BACILLUS THURINGIENSIS ""O""",4-487,12,2011-07-08, ,F,N,Caution,,,,,,,,,,
27,"BONIDE ROSE, FLOWER, & ORNAMENTAL INSECT SPRAY READY-TO-USE",4-309,16,1983-09-07, ,F,Y,Caution,,,,,,,,,,
28,SHOT GUN HOT PEPPER WAX ANIMAL REPELLENT,4-398,16,1997-10-30, ,F,Y,Caution,,,,,,,,,,
29,BONIDE KU GR CONCENTRATE,4-484,15,2010-03-25, ,F,N,Warning,,,,,,,,,,
