	Chemical Name	CAS Number	U.S. EPA PC Code	CA Chem Code	Use Type	Chemical Class	U.S. EPA Registered	WHO 1a	WHO 1b	Rotterdam Annex III	Stockholm Annex A	Stockholm Annex B
0	(E)-Mevinphos	298-01-1, 7786-34-7	015802, 015802		Insecticide	Organophosphorus	False	True	False	False	False	False
1	(Z)-Mevinphos	338-45-4	015803, 015803		Insecticide	Organophosphorus	False	True	False	False	False	False
2	1080	62-74-8	075003, 075003	633.0	Rodenticide, Insecticide	Unclassified	False	True	False	False	False	False
3	Aldicarb	116-06-3	098301, 098301	575.0	Insecticide, Nematicide	N-Methyl Carbamate	False	True	False	False	False	False
4	Brodifacoum	56073-10-0	112701, 112701	2049.0	Rodenticide	Coumarin	True	True	False	False	False	False
5	Bromadiolone	28772-56-7	112001, 208500, 214600, 112001, 208500	2135.0	Rodenticide	Coumarin	True	True	False	False	False	False
6	Bromethalin	63333-35-7	112802, 117601, 112802, 117601	2288.0	Rodenticide		True	True	False	False	False	False
7	Calcium cyanide	592-01-8	074001, 074001	176.0	Rodenticide	Inorganic	False	True	False	False	False	False
8	Captafol (cis isomer)	2939-80-2	081701, 081701	292.0	Fungicide	Thiophthalimide	False	True	False	False	False	False
9	Captafol (isomer unspecified)	2425-06-01	081702, 081702		Fungicide	Thiophthalimide	False	True	False	False	False	False
10	Chlorethoxyphos	54593-83-8	129006, 129006	5106.0	Insecticide	Organophosphorus	False	True	False	False	False	False
11	Chlormephos	24934-91-6	295300, 295300		Insecticide	Organophosphorus	False	True	False	False	False	False
12	Chlorophacinone	3691-35-8	067707, 067707	1625.0	Rodenticide	1,3-Indandione	True	True	False	False	False	False
13	Difenacoum	56073-07-5	119901, 119901	5942.0	Rodenticide	Coumarin	True	True	False	False	False	False
14	Difethialone	104653-34-1	128967, 128967	4014.0	Rodenticide		True	True	False	False	False	False
15	Diphacinone	82-66-6	067701, 067701	225.0	Rodenticide	1,3-Indandione	True	True	False	False	False	False
16	Disulfoton	298-04-4	032501, 032501	230.0	Insecticide, Nematicide	Organophosphorus	False	True	False	False	False	False
17	EPN	2104-64-5	041801, 041801	263.0	Insecticide	Organophosphorus	False	True	False	False	False	False
18	Ethoprop	13194-48-4	041101, 041101	404.0	Insecticide, Nematicide	Organophosphorus	True	True	False	False	False	False
19	Flocoumafen	90035-08-8			Rodenticide	Coumarin	False	True	False	False	False	False
20	Fonofos	944-22-9	041701, 041701	254.0	Insecticide	Organophosphorus	False	True	False	False	False	False
21	Hexachlorobenzene	118-74-1	061001, 061001	321.0	Microbiocide, Fungicide, Insecticide	Organochlorine	False	True	False	True	True	False
22	Mercuric chloride	7487-94-7	052001, 052001	372.0	Fungicide	Inorganic-Mercury, Heavy metal	False	True	False	True	False	False
23	Methyl parathion	298-00-0	053501, 053501	394.0	Insecticide, Nematicide	Organophosphorus	False	True	False	True	False	False
24	Mevinphos	26718-65-0	015801, 015801	480.0	Insecticide	Organophosphorus	False	True	False	False	False	False
25	Parathion	56-38-2	057501, 057503, 057401, 057501, 057503	459.0	Insecticide	Organophosphorus	False	True	False	True	False	False
26	Phorate	298-02-2	057201, 057201	478.0	Insecticide, Nematicide	Organophosphorus	True	True	False	False	False	False
27	Phosphamidon	13171-21-6	018201, 018201	482.0	Insecticide	Organophosphorus	False	True	False	True	False	False
28	Phostebupirim	96182-53-5	129086, 129086	5122.0	Insecticide	Organophosphorus	False	True	False	False	False	False
29	PMA	62-38-4	066003, 066003	491.0	Fungicide, Microbiocide, Herbicide	Organomercury, Heavy metal	False	True	False	True	False	False
30	Sulfotep	3689-24-5	079501, 079501	558.0	Insecticide	Organophosphorus	False	True	False	False	False	False
31	Terbufos	13071-79-9	105001, 105001	2925.0	Insecticide, Nematicide	Organophosphorus	False	True	False	False	False	False
32	Acrolein (Propenal)	107-02-8	000701, 000701	3	Algaecide, Fumigant	Aldehyde	True	False	True	False	False	False
33	Allyl alcohol	107-18-6	068401, 068401	3023	Herbicide	Alcohol/Ether	False	False	True	False	False	False
34	Azinphos-ethyl	2642-71-9	058002, 058002	4053	Insecticide	Organophosphorus	False	False	True	False	False	False
35	Azinphos-methyl	86-50-0	058001, 058001	314	Insecticide	Organophosphorus	False	False	True	False	False	False
36	Butoxycarboxim	34681-23-7	113001, 577200, 113001, 577200	2201	Insecticide	N-Methyl Carbamate	False	False	True	False	False	False
37	Calcium arsenate	7778-44-1	013501, 613501, 013501, 613501	96	Herbicide, Insecticide, Rodenticide, Molluscicide	Inorganic-arsenic, Heavy metal	False	False	True	False	False	False
38	Carbofuran	1563-66-2	090601, 090601	106	Insecticide, Nematicide	N-Methyl Carbamate	False	False	True	True	False	False
39	Chlorfenvinphos	470-90-6, 270-90-6	084101, 084101	306	Insecticide	Organophosphorus	False	False	True	False	False	False
40	Coumaphos	56-72-4	036501, 036501	165	Insecticide	Organophosphorus	True	False	True	False	False	False
41	Cupric acetoarsenite	12002-03-8	022601, 022601	2485, 460	Wood Preservative	Inorganic-arsenic, Inorganic-Copper, Heavy metal	False	False	True	False	False	False
42	Cypermethrin, zeta	52315-07-8, 69865-47-0, 86752-99-0	129064, 129064	3866	Insecticide	Pyrethroid	True	False	True	False	False	False
43	DDVP	62-73-7	084001, 600020, 084001, 600020	187	Insecticide, Breakdown product, Impurity	Organophosphorus	True	False	True	False	False	False
44	Demeton-S-methyl (mixture)	8022-00-2, 919-86-8	058701, 058701	4063	Insecticide	Organophosphorus	False	False	True	False	False	False
45	Dicrotophos	141-66-2	035201, 035201	72	Insecticide	Organophosphorus	False	False	True	False	False	False
46	Dinitro cresol	534-52-1	037507, 600023, 037507, 600023	3170	, Insecticide, Insecticide	Dinitrophenol derivative	False	False	True	True	False	False
47	Edifenphos	17109-49-8	434300, 434300	1964	Fungicide	Organophosphorus	False	False	True	False	False	False
